"portal","suchbegriff","titel","auftraggeber","veroeffentlichungsdatum","frist","beschreibung","link"
"USP Bund","Raumplanung","Pongratz-Moore-Steg Planungsdienstleistungen - Neuerrichtung","Stadt Graz - Stadtbauamt","2025-04-18","","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-9110006916210_BVergG-VIII-2-Z1_431261&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","SEB007 Grafenstein-Klagenfurt Hbf; Herstellung güterzuglange Überholgleise; IE; SEB008 Klagenfurt Hbf-Villach Hbf; Streckenattraktivierung; km 125,881 - km 164,264; IE - Strecken- und Raumplanung","ÖBB-Infrastruktur AG","2025-04-14","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-ca33e31c-6645-44fd-b979-5a31d2785334&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Vergabe der Erhebung des biologischen Qualitätselements Fische (FIS) für den Beobachtungszeitraum 2025-2027 gemäß Gewässerzustandsüberwachungsverordnung (GZÜV) 2006 idgF","Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft","2025-04-09","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-9feca175-c92b-4329-9b9b-ac05be714122&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","St.Veit a.d. Glan - Villach Hbf; Attraktivierung Ossiacherseebahn, Planung - Naturschutzrechtliche Beratungsleistungen im Zuge der Erstellung der EB-Planung","ÖBB-Infrastruktur AG","2025-04-02","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-73ca1973-fe1c-4a3a-a7e0-62f19242b881&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Almkartierung","Kärntner Nationalparkfonds Hohe Tauern und Salzburger Nationalparkfonds","2025-03-04","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-86da6495-e378-45a0-b66a-6e05f713d90e&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","Ederbauer; Herstellung güterzuglange Überholgleise, Planung - Naturschutzrechtliche und Forstrechtliche Einreichunterlagen","ÖBB-Infrastruktur AG","2025-03-04","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-8244df7f-962a-4b30-9353-8e7214f6fc49&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Raumplanung","LIFE Projekt AMooRe, Projektmanagement","Land Vorarlberg, Amt der Vorarlberger Landesregierung, Abteilung Umwelt- und Klimaschutz","2024-12-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-980ec226-1a7f-488d-92ca-3b35a1ef791b&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJhdW1wbGFudW5nJmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Regionalentwicklung Kampwald – Naturschutzgebiet Dobratal Artenschutzinitialprojekt Wald","Land Niederösterreich, p.A. Amt der NÖ-Landesregierung, Abteilung Raumordnung und Gesamtverkehrsangelegenheiten","2025-11-23","2025-12-22","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-9110002556748_BVergG-VIII-1-Z2_270761&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Regionalentwicklung Kampwald – Naturschutzgebiet Dobratal Artenschutzinitialprojekt Gewässer","Land Niederösterreich, p.A. Amt der NÖ-Landesregierung, Abteilung Raumordnung und Gesamtverkehrsangelegenheiten","2025-11-23","2025-12-22","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-9110002556748_BVergG-VIII-1-Z2_856391&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Land Niederösterreich / Regionalentwicklung Kampwald – Managementplan Naturschutzgebiet Dobratal","Land Niederösterreich, p.A. Amt der NÖ-Landesregierung, Abteilung Raumordnung und Gesamtverkehrsangelegenheiten","2025-08-22","2025-09-23","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-9110002556748_BVergG-VIII-1-Z2_478191&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
